Math Grade,Physics Grade,Biology Grade,Chemistry Grade,English Grade,History Grade,Economy Grade,Geography Grade,is_sucess,Suggestion Based on Top 4 grades,Suggestion Based on Mean
77,60,82,47,48,97,63,59,1,Anatomy,Economic Policy Analysis
57,70,86,61,40,45,55,93,1,Emergency management and Disaster,Mathematical Archaeology
61,43,60,92,58,82,63,44,1,Analytical Chemistry,Mathematical Archaeology
53,86,93,57,52,47,43,81,1,Medicine,Anatomy
70,82,92,70,49,77,71,98,1,Physics Education,Metorology
75,75,55,47,70,42,49,89,1,Tourism and Hospitality,Urban Planing and Regional Development
98,96,75,87,81,85,66,54,1,Data Reporting,Physical Chemistry
76,47,47,65,42,77,78,85,1,Transportation and Logistics,Surveying and Geomatics
40,77,95,56,81,51,58,97,1,Editing,Cultural Heritage Preservation
81,51,63,76,92,63,84,80,1,Global Financial Markets,Historical Geography
70,99,44,46,58,45,91,82,1,Economic Policy,Urban Planing and Regional Development
86,66,48,40,54,78,59,64,1,Signal Processing Engineers,Historical Analysis of Technological Advances
62,84,53,57,72,48,100,60,1,Experimental Physics,Geographic Information Systems
82,80,67,89,43,48,94,67,1,Economic Policy,Organic Chemistry
69,97,79,64,62,52,45,46,1,Experimental Physics,Science Journalism
73,86,83,98,75,46,58,60,1,Pharmacology,Organic Chemistry
78,58,60,91,85,48,90,56,1,Economic Policy,Lab Assistant
88,99,94,59,73,92,62,93,1,BioMechanics,Data Reporting
41,46,59,66,57,64,50,56,0,"F, a, i, l","F, a, i, l"
92,95,66,44,70,82,46,73,1,Operation Resarch,Computational Biology
48,58,72,78,71,52,84,57,1,Macroeconomics,Environmental Jouralism
63,73,65,92,41,71,52,73,1,Inorganic Chemistry,Chemistry and Scientific Revolution
91,78,94,88,67,60,77,62,1,Medicinal Chemistry,Chemistry Journalism
52,55,97,42,71,92,89,44,1,Medical History,Operation Resarch
76,51,99,68,46,96,79,87,1,Transportation and Logistics,Spatial Dynamics of Chemical Reactions
79,92,99,62,87,99,45,67,1,History of Physics,GeoPhysics
72,58,80,90,90,83,84,76,1,Chemistry Journalism,Education
41,49,100,82,99,81,88,79,1,Biotechnology,Economics of Biomedical Research and Development
81,42,94,56,100,83,63,73,1,History of Science,Economics of Biomedical Research and Development
52,65,65,81,62,99,81,90,1,Spatial Dynamics of Chemical Reactions,Global Financial Markets
84,84,68,80,60,98,78,77,1,Mathematics,Mathematical Modeling
58,67,68,53,59,85,71,47,1,Journalism and Media,Historical Anthropology
73,59,48,71,100,67,63,69,1,Publishing,Global Financial Markets
62,90,66,71,73,97,86,72,1,Historical Instrumentation and Experimental Replication,Science Editing
93,49,93,53,49,67,40,71,1,Computational Biology,Digital Humanities
100,71,100,44,63,75,72,70,1,Mathematics,Biostatistics
97,60,47,60,75,72,59,42,1,Signal Processing Engineers,Epidemiology
91,43,78,60,73,57,61,97,1,Mathematics,Computational Biology
43,96,56,75,50,52,51,83,1,Geospatial Techoology,Radiology
52,57,65,57,67,76,40,40,0,"F, a, i, l","F, a, i, l"
68,95,69,81,76,65,92,43,1,Energy Economics,Chemistry and Scientific Revolution
41,67,71,83,89,56,92,93,1,Technical Writing for Chemistry,Environmental Economics
86,94,49,55,91,48,96,83,1,Communications,Travel Writing and Guidebook Publishing
93,99,97,57,89,52,81,59,1,Biotechnology,Risk Manager
76,79,57,77,58,62,98,72,1,Econometrics,Analytical Chemistry
71,58,96,73,68,59,62,64,1,Microbiology,Archival Studies
64,68,58,56,94,46,40,86,1,Tourism and Hospitality,Museum Curator
57,52,67,90,86,99,59,75,1,Evolution of Chemical Education,Geography of Chemical Waste Management
45,98,82,62,58,89,84,91,1,Historical Preservation and Cultural Heritage,Microeconomics
83,74,53,61,100,49,49,40,1,Communications,Physiology
95,50,47,58,67,73,98,56,1,Risk Manager,Environmental Jouralism
77,42,64,65,100,82,72,46,1,Translation,Digital Marketing
55,71,68,49,77,97,43,72,1,Government and Public Services,Biophysics
98,66,73,49,88,89,68,47,1,Mathematics,Economic Policy Analysis
47,65,53,65,47,64,93,85,1,Environmental Economics,Transportation and Logistics
48,58,96,45,44,50,60,57,0,"F, a, i, l","F, a, i, l"
65,42,45,56,87,93,75,87,1,Historical Geography,History of Chemical Discoveries
53,89,47,47,58,50,97,88,1,International Development,Environmental Jouralism
59,72,66,76,70,74,93,64,1,Public Finance,Energy Economics
85,84,99,60,40,56,92,82,1,Emergency management and Disaster,Environmental Chemistry
69,93,64,43,63,87,42,83,1,GeoPhysics,Data Analysis
60,55,92,80,45,48,98,89,1,International Economics,Astrophysics
80,68,83,45,48,99,73,64,1,History of Science,Economics of Biomedical Research and Development
43,49,73,59,91,44,54,46,0,"F, a, i, l","F, a, i, l"
81,88,64,78,100,60,62,56,1,Technical Writing,Data Scientist
100,99,82,86,78,84,61,62,1,Biotechnology,Biomedical Engineering
63,70,97,42,89,73,84,50,1,International Economics,Data Scientist
58,100,94,51,81,89,60,66,1,Copywriting,Medical Physics
96,91,81,70,87,43,59,90,1,Publishing,Technical Writing
65,79,72,88,100,75,58,43,1,Scientific Writing in Chemistry,Museum Curation and Interpretation
68,84,59,65,75,40,54,98,1,Plantery Science,Emergency management and Disaster
70,56,47,99,42,56,70,100,1,Emergency management and Disaster,History of Science
42,54,64,58,59,42,64,53,0,"F, a, i, l","F, a, i, l"
54,42,68,66,41,47,47,100,0,"F, a, i, l","F, a, i, l"
50,45,40,44,67,47,68,77,0,"F, a, i, l","F, a, i, l"
47,78,47,41,93,67,78,95,1,Cultural Heritage Preservation,Data Scientist
98,43,99,90,95,64,94,68,1,Signal Processing Engineers,Cultural Heritage Management and Preservation
82,60,53,91,61,79,64,93,1,Geography of Chemical Waste Management,Economic History Research
79,75,68,70,91,59,54,45,1,Technical Writing,Biophysics
76,82,81,56,93,51,43,90,1,Communications,Math Journalism
92,68,59,40,93,67,44,49,1,Copywriting,Statistical Demography
76,83,52,89,43,85,56,44,1,Science Journalism,Financial Services
41,55,69,66,51,96,57,48,1,Historical Preservation and Cultural Heritage,Sustainable Chemistry and Economic Development
46,64,76,75,75,47,53,81,1,Emergency management and Disaster,Plantery Science
