Math Grade,Physics Grade,Biology Grade,Chemistry Grade,English Grade,History Grade,Economy Grade,Geography Grade,is_sucess,Suggestion Based on Top 4 grades,Suggestion Based on Mean
73,91,85,70,89,98,83,80,1,Museum Curator,Landscape Ecology and Biotic Interactions
69,100,97,96,73,54,59,84,1,GeoPhysics,Travel Writing and Guidebook Publishing
93,44,96,51,59,92,73,79,1,Microbiology,Academic Research
58,95,61,45,77,75,100,41,1,Econophysics,Quantum Mechanics
85,97,67,78,74,61,64,81,1,Experimental Physics,Experimental Physics
60,76,82,50,95,43,73,52,1,Biotechnology,Geospatial Techoology
91,80,51,94,72,75,65,91,1,Metorology,Energy Economics
97,73,57,62,41,59,57,87,1,Transportation and Logistics,Transportation and Logistics
95,83,67,58,99,67,100,52,1,Mathematics,Operation Resarch
70,54,77,62,75,69,99,76,1,International Economics,Chemistry Journalism
71,81,64,44,85,58,95,50,1,Econophysics,Economic History
67,53,48,44,86,67,100,89,1,English Language Skills for Economic Forecasting,Theortical Physics
96,66,70,84,79,54,94,93,1,Computer Science,Quantum Chemistry
53,93,83,46,67,50,98,90,1,Econophysics,Epidemiology
44,99,63,75,71,60,42,43,1,Experimental Physics,Organic Chemistry
83,51,66,93,86,61,85,58,1,Economic Policies in the Chemical Sector,Math Journalism
79,76,80,57,69,100,86,44,1,Economic Policy,Sustainable Economics in Biology Conservation
48,41,62,100,87,100,88,50,1,Communications,Analytical Chemistry
76,86,74,99,91,100,76,56,1,Inorganic Chemistry,Economic Policy Analysis
86,95,87,53,71,69,71,84,1,Theortical Physics,Academic Research
59,52,60,56,69,65,71,57,1,Economic Policy Analysis,Archival Studies
75,51,89,72,47,40,42,81,1,Ecology,Conservation of Biodiversity Hotspots
77,88,84,48,53,92,82,75,1,Economics of Biomedical Research and Development,Tourism and Hospitality
94,89,64,98,92,60,49,86,1,Writing and Editing,Public Relations
90,90,62,73,47,44,57,52,1,Theortical Physics,Financial Services
70,68,93,98,92,77,89,86,1,English Language Skills for Economic Forecasting,Conservation of Biodiversity Hotspots
67,96,49,50,77,73,58,68,1,Physics Education,Academic Research and Teaching
94,46,68,68,56,84,51,66,1,Computer Science,Mathematical Archaeology
64,58,59,91,83,100,46,89,1,Travel Writing and Guidebook Publishing,Environmental History
84,59,89,65,74,47,94,81,1,Biostatistics,Biomedical Engineering
67,83,57,93,78,96,99,58,1,Government and Public Services,Global Financial Markets
90,53,51,75,97,63,95,50,1,Quantitative Analyst,Quantum Mechanics
85,94,84,92,63,89,73,73,1,Experimental Physics,Science Education and Outreach
73,86,48,79,61,54,92,47,1,Energy Economics,Chemistry Education and Curriculum Development
81,89,51,70,79,56,48,52,1,Mathematical Modeling,Chemistry Journalism
77,48,59,66,96,71,60,96,1,Journalism,Actuarial Science
80,44,97,68,96,43,57,58,1,Content Creation,Organic Chemistry
52,64,49,48,75,42,66,76,0,Fail,Fail
90,88,53,53,43,100,85,50,1,Historical Instrumentation and Experimental Replication,Environmental History
53,47,83,46,92,72,73,49,1,Technical Writing,Sustainable Economics in Biology Conservation
60,73,87,47,94,84,75,99,1,Publishing,Travel Writing and Guidebook Publishing
95,88,85,70,96,49,58,87,1,Surveying and Geomatics,Geography of Chemical Waste Management
46,83,98,62,58,52,72,74,1,Medicine,Econophysics
79,59,95,61,71,40,93,100,1,Tourism and Hospitality,Econophysics
46,79,41,82,43,92,43,53,0,Fail,Fail
47,49,73,91,74,80,76,91,1,Tourism and Hospitality,Economics of Biomedical Research and Development
54,60,84,91,82,53,44,78,1,Inorganic Chemistry,Materials Science
81,71,54,92,79,88,97,48,1,Chemistry and Scientific Revolution,English Language Skills for Economic Forecasting
88,84,48,98,91,52,98,58,1,Science Journalism,Chemical Market Forecasting and Analysis
84,67,45,71,71,69,89,67,1,Operation Resarch,Physical Chemistry
72,45,50,64,47,66,49,48,0,Fail,Fail
44,90,74,99,51,100,40,74,1,Astrophysics,Experimental Physics
87,45,60,53,44,95,80,66,1,Archivist,Sustainable Economics in Biology Conservation
